iter	RMSE
0	61.97824746
1	60.65296534
2	59.27359138
3	57.8907504
4	56.58386491
5	55.35040745
6	54.16483688
7	52.98442635
8	51.86312801
9	50.88492678
10	49.82130879
11	48.91238004
12	48.1036836
13	47.29039676
14	46.46921959
15	45.65433692
16	44.8946082
17	44.14304139
18	43.45690244
19	42.72879076
20	42.07993956
21	41.44627791
22	40.89420685
23	40.33388982
24	39.82796287
25	39.33970846
26	38.88454293
27	38.51042391
28	38.03858205
29	37.60698431
30	37.23938057
31	36.82722901
32	36.51591699
33	36.22026974
34	35.88465035
35	35.56900139
36	35.31066168
37	35.00197007
38	34.72957154
39	34.46921513
40	34.20781676
41	33.99183287
42	33.75402822
43	33.55416141
44	33.34745484
45	33.15619191
46	32.9390351
47	32.76388297
48	32.56758692
49	32.39870917
50	32.23279949
51	32.05428943
52	31.90302711
53	31.76085908
54	31.62853613
55	31.50320678
56	31.35910153
57	31.2126185
58	31.07887367
59	30.97545336
60	30.86634803
61	30.74721334
62	30.65623544
63	30.5440122
64	30.47342917
65	30.35811876
66	30.26924003
67	30.18002355
68	30.07719616
69	29.97595337
70	29.86827569
71	29.79334012
72	29.6945056
73	29.60719239
74	29.53298768
75	29.47960174
76	29.42369698
77	29.34362872
78	29.28690676
79	29.23003831
80	29.17594237
81	29.13781828
82	29.07969507
83	29.01109273
84	28.96208998
85	28.91652035
86	28.84836563
87	28.78381302
88	28.71700441
89	28.6540863
90	28.56156432
91	28.50537465
92	28.45734818
93	28.36927284
94	28.32999909
95	28.29691335
96	28.26483268
97	28.21930953
98	28.16808174
99	28.13447964
100	28.07868488
101	28.0331273
102	27.95438963
103	27.89521103
104	27.86020029
105	27.80738506
106	27.73998379
107	27.71159138
108	27.64419241
109	27.59962737
110	27.57144156
111	27.53197745
112	27.5007071
113	27.45092725
114	27.40794371
115	27.32576275
116	27.29332315
117	27.25726307
118	27.20745362
119	27.15630287
120	27.12123031
121	27.08210713
122	27.04894184
123	27.01713909
124	26.96838267
125	26.93366879
126	26.88542626
127	26.82235549
128	26.78585174
129	26.75105913
130	26.71101988
131	26.67479805
132	26.64076065
133	26.59046368
134	26.53063708
135	26.47297892
136	26.44183881
137	26.422745
138	26.36586345
139	26.35193091
140	26.31024156
141	26.29142851
142	26.26398707
143	26.24273998
144	26.17751974
145	26.15948703
146	26.12689673
147	26.07193265
148	26.03587208
149	25.99089347
150	25.96704721
151	25.93928991
152	25.92206761
153	25.89024872
154	25.84258414
155	25.82694145
156	25.78668687
157	25.75599151
158	25.71503928
159	25.68295243
160	25.65121514
161	25.63902857
162	25.60820051
163	25.57545098
164	25.55781831
165	25.50916493
166	25.49004727
167	25.46880594
168	25.4483572
169	25.40967744
170	25.37903877
171	25.34669967
172	25.3219999
173	25.30390007
174	25.23965117
175	25.20423648
176	25.17995143
177	25.12736398
178	25.11024565
179	25.08668384
180	25.04995957
181	25.02418581
182	24.98994998
183	24.94067811
184	24.91585356
185	24.87606086
186	24.86190232
187	24.80443452
188	24.7768356
189	24.75827929
190	24.73618166
191	24.70135167
192	24.67977665
193	24.65466176
194	24.62529716
195	24.59026331
196	24.57507926
197	24.54912084
198	24.53539524
199	24.49862034
200	24.47482002
201	24.45026372
202	24.43508963
203	24.38878847
204	24.33016653
205	24.30410452
206	24.2782625
207	24.26006006
208	24.22764571
209	24.18100977
210	24.1479864
211	24.12945074
212	24.10514455
213	24.07841989
214	24.04965518
215	24.02413554
216	23.99115368
217	23.97499347
218	23.93061792
219	23.90725323
220	23.88166761
221	23.85455896
222	23.83399608
223	23.80230782
224	23.77545485
225	23.7493287
226	23.71934633
227	23.69901843
228	23.68153559
229	23.64332064
230	23.6059751
231	23.58101388
232	23.56482033
233	23.53719597
234	23.50494351
235	23.48347029
236	23.4546804
237	23.44048556
238	23.40894866
239	23.38988252
240	23.3563383
241	23.33040764
242	23.30681654
243	23.2741823
244	23.25429966
245	23.23237275
246	23.21801874
247	23.19347107
248	23.14847052
249	23.12917606
250	23.10972984
251	23.08930098
252	23.07222922
253	23.0560907
254	23.02067747
255	22.99841977
256	22.98662018
257	22.965396
258	22.94423594
259	22.88995726
260	22.86850472
261	22.84894315
262	22.82928829
263	22.78245034
264	22.74476084
265	22.7272976
266	22.70379615
267	22.66802018
268	22.61789066
269	22.59890843
270	22.5749151
271	22.55309417
272	22.53260223
273	22.51133286
274	22.49717786
275	22.47828891
276	22.46405254
277	22.43345969
278	22.41897166
279	22.40803017
280	22.37713346
281	22.34366632
282	22.31764373
283	22.29938322
284	22.28906608
285	22.27724972
286	22.26174823
287	22.24484056
288	22.23532839
289	22.19103394
290	22.17056587
291	22.15899412
292	22.14274263
293	22.12002203
294	22.10793901
295	22.08237971
296	22.07588581
297	22.0595867
298	22.04818311
299	22.01885188
300	21.98476744
301	21.97046687
302	21.95764962
303	21.94665394
304	21.92327004
305	21.90588729
306	21.88602837
307	21.85765758
308	21.84497899
309	21.83108661
310	21.81706594
311	21.79083812
312	21.78111456
313	21.77078173
314	21.74887916
315	21.7383997
316	21.72302961
317	21.7033718
318	21.70024085
319	21.69445708
320	21.66678623
321	21.64408204
322	21.60941267
323	21.59537841
324	21.56650835
325	21.5476531
326	21.53050928
327	21.50830671
328	21.48230682
329	21.45692275
330	21.43916914
331	21.42531422
332	21.40551907
333	21.38210666
334	21.36155912
335	21.3510415
336	21.32755463
337	21.31211033
338	21.27875942
339	21.24983655
340	21.21824657
341	21.20617503
342	21.19260359
343	21.17802028
344	21.16744316
345	21.16018502
346	21.13362116
347	21.11836278
348	21.09547538
349	21.08456449
350	21.07145052
351	21.04880445
352	21.03606989
353	21.02188345
354	21.00515853
355	20.98235942
356	20.97066842
357	20.9317654
358	20.91902657
359	20.901652
360	20.88112895
361	20.85665461
362	20.8354071
363	20.8114079
364	20.79771843
365	20.77205942
366	20.74480919
367	20.73092011
368	20.70318373
369	20.68524975
370	20.67893523
371	20.66019086
372	20.64599265
373	20.63924428
374	20.60952499
375	20.57659081
376	20.5695386
377	20.54171421
378	20.52924666
379	20.50842491
380	20.48942791
381	20.47854207
382	20.46730504
383	20.45392464
384	20.42927312
385	20.4106566
386	20.37672186
387	20.37109866
388	20.35148858
389	20.33576788
390	20.32959117
391	20.32153066
392	20.297592
393	20.29532946
394	20.27349322
395	20.24860235
396	20.24211782
397	20.21502282
398	20.20836426
399	20.20556517
400	20.18129921
401	20.1554582
402	20.1379622
403	20.12312576
404	20.10544551
405	20.10068241
406	20.09436161
407	20.08202771
408	20.06513111
409	20.05723189
410	20.03891869
411	20.01205829
412	19.9993338
413	19.98777702
414	19.97483482
415	19.96070721
416	19.93532555
417	19.92395998
418	19.90347033
419	19.89252711
420	19.88324781
421	19.87710273
422	19.85054907
423	19.83068975
424	19.82201247
425	19.80113207
426	19.79549095
427	19.78299302
428	19.77058183
429	19.75691332
430	19.74510705
431	19.74275825
432	19.72206685
433	19.71796167
434	19.70382767
435	19.67968365
436	19.67538402
437	19.65099804
438	19.64802023
439	19.64236181
440	19.63063403
441	19.60602232
442	19.59293503
443	19.58734098
444	19.56768122
445	19.54606031
446	19.52303001
447	19.50685973
448	19.50381372
449	19.48569209
450	19.47388927
451	19.45270546
452	19.4473523
453	19.42808205
454	19.4155501
455	19.40037095
456	19.38928287
457	19.38501133
458	19.38366863
459	19.37048131
460	19.36603834
461	19.35635439
462	19.33944239
463	19.31542584
464	19.29901423
465	19.28856932
466	19.27141906
467	19.26139004
468	19.25808078
469	19.24544819
470	19.23417168
471	19.22056899
472	19.20968435
473	19.20507465
474	19.18221945
475	19.17458996
476	19.16653716
477	19.14741992
478	19.13000319
479	19.12594294
480	19.10084522
481	19.09004399
482	19.07524965
483	19.07292008
484	19.05851417
485	19.03960225
486	19.02212485
487	19.00405303
488	18.98981129
489	18.9802038
490	18.97203803
491	18.96626845
492	18.95812154
493	18.94708793
494	18.9297368
495	18.91309954
496	18.89537993
497	18.87665649
498	18.86972631
499	18.85739697
500	18.84859016
501	18.84007733
502	18.80809168
503	18.80144599
504	18.79504361
505	18.79003746
506	18.78464482
507	18.77718882
508	18.7537985
509	18.73962593
510	18.7334054
511	18.7140069
512	18.69180108
513	18.67863123
514	18.66505966
515	18.64778118
516	18.63520961
517	18.62240875
518	18.61521173
519	18.61364724
520	18.59967283
521	18.58400366
522	18.57713653
523	18.57000788
524	18.56006275
525	18.55284428
526	18.54257406
527	18.52301538
528	18.50258249
529	18.49378218
530	18.48424641
531	18.4628485
532	18.45192748
533	18.43257117
534	18.42998341
535	18.41383196
536	18.39396317
537	18.38304336
538	18.37156471
539	18.36408583
540	18.33755372
541	18.31603919
542	18.29587368
543	18.29063875
544	18.27970839
545	18.27016865
546	18.26333019
547	18.25086158
548	18.24727929
549	18.23862305
550	18.23264474
551	18.22377156
552	18.21259028
553	18.19061782
554	18.16808469
555	18.15429373
556	18.13781533
557	18.1352871
558	18.13033026
559	18.1211804
560	18.10883795
