iter	Passed	Remaining
0	4	4191
1	7	3646
2	14	4664
3	17	4329
4	20	4054
5	24	3994
6	29	4193
7	33	4176
8	36	4047
9	42	4242
10	46	4185
11	50	4138
12	53	4044
13	60	4232
14	63	4153
15	66	4080
16	72	4169
17	77	4201
18	80	4139
19	83	4079
20	89	4181
21	93	4155
22	96	4105
23	99	4054
24	105	4128
25	109	4115
26	113	4086
27	119	4146
28	123	4121
29	126	4077
30	129	4040
31	134	4077
32	138	4052
33	141	4012
34	144	3977
35	150	4017
36	153	4004
37	156	3971
38	159	3939
39	164	3958
40	169	3954
41	172	3937
42	178	3975
43	185	4035
44	190	4037
45	196	4073
46	199	4047
47	202	4019
48	205	3991
49	210	3998
50	213	3971
51	216	3945
52	220	3940
53	224	3934
54	227	3911
55	230	3889
56	233	3868
57	240	3899
58	244	3895
59	247	3874
60	252	3893
61	255	3872
62	259	3864
63	263	3852
64	271	3898
65	274	3879
66	277	3863
67	281	3858
68	286	3866
69	289	3849
70	292	3829
71	297	3829
72	300	3821
73	306	3829
74	310	3826
75	314	3826
76	317	3809
77	320	3791
78	326	3801
79	330	3797
80	334	3791
81	337	3783
82	342	3787
83	346	3775
84	349	3761
85	354	3766
86	357	3753
87	361	3749
88	364	3734
89	369	3734
90	372	3723
91	377	3724
92	381	3723
93	386	3721
94	389	3709
95	392	3695
96	395	3682
97	399	3681
98	403	3668
99	406	3655
100	409	3641
101	414	3646
102	417	3634
103	420	3622
104	423	3608
105	428	3617
106	432	3609
107	436	3602
108	439	3591
109	443	3590
110	447	3586
111	452	3584
112	458	3595
113	461	3589
114	465	3578
115	468	3567
116	471	3555
117	474	3547
118	477	3537
119	481	3527
120	484	3516
121	489	3519
122	493	3518
123	496	3507
124	499	3499
125	505	3505
126	509	3503
127	513	3499
128	518	3502
129	522	3495
130	527	3500
131	530	3490
132	536	3498
133	539	3487
134	542	3479
135	545	3468
136	551	3475
137	555	3467
138	558	3457
139	565	3472
140	570	3477
141	573	3467
142	580	3477
143	584	3472
144	588	3468
145	591	3458
146	596	3462
147	599	3453
148	604	3450
149	609	3456
150	614	3454
151	617	3447
152	621	3440
153	626	3444
154	631	3441
155	634	3432
156	637	3423
157	644	3436
158	648	3429
159	651	3420
160	657	3427
161	661	3420
162	664	3411
163	673	3432
164	680	3442
165	687	3452
166	691	3446
167	695	3445
168	698	3435
169	705	3442
170	708	3433
171	712	3429
172	718	3434
173	722	3430
174	725	3420
175	728	3411
176	735	3418
177	738	3410
178	741	3401
179	748	3407
180	753	3408
181	757	3403
182	763	3408
183	767	3403
184	770	3395
185	773	3385
186	779	3387
187	782	3378
188	785	3370
189	788	3362
190	794	3363
191	797	3356
192	800	3347
193	803	3338
194	810	3345
195	813	3338
196	817	3332
197	826	3348
198	831	3345
199	834	3338
200	841	3343
201	845	3339
202	848	3331
203	855	3336
204	859	3331
205	862	3323
206	865	3314
207	871	3317
208	874	3310
209	877	3302
210	880	3293
211	886	3295
212	890	3289
213	893	3281
214	896	3272
215	902	3276
216	906	3269
217	909	3262
218	915	3263
219	922	3270
220	926	3266
221	938	3288
222	947	3299
223	964	3342
224	972	3350
225	987	3382
226	999	3403
227	1002	3394
228	1006	3390
229	1011	3384
230	1015	3380
231	1019	3374
232	1024	3371
233	1028	3365
234	1031	3358
235	1034	3349
236	1040	3351
237	1044	3343
238	1047	3334
239	1050	3325
240	1058	3334
241	1063	3329
242	1066	3321
243	1071	3320
244	1075	3313
245	1078	3305
246	1081	3296
247	1087	3296
248	1090	3288
249	1093	3280
250	1096	3272
251	1102	3272
252	1106	3267
253	1109	3258
254	1113	3252
255	1120	3255
256	1123	3247
257	1126	3239
258	1132	3240
259	1136	3233
260	1139	3225
261	1142	3217
262	1146	3213
263	1152	3213
264	1158	3212
265	1163	3209
266	1167	3206
267	1171	3198
268	1176	3196
269	1179	3188
270	1182	3180
271	1185	3173
272	1192	3174
273	1196	3170
274	1200	3163
275	1205	3161
276	1209	3158
277	1213	3152
278	1217	3147
279	1223	3145
280	1226	3138
281	1230	3132
282	1235	3131
283	1239	3124
284	1242	3117
285	1245	3110
286	1250	3107
287	1254	3100
288	1257	3094
289	1261	3087
290	1266	3085
291	1270	3080
292	1273	3073
293	1277	3068
294	1282	3065
295	1286	3059
296	1290	3053
297	1295	3052
298	1300	3049
299	1305	3045
300	1308	3038
301	1313	3036
302	1317	3030
303	1320	3024
304	1326	3021
305	1331	3018
306	1334	3011
307	1337	3004
308	1343	3003
309	1348	3001
310	1352	2996
311	1358	2995
312	1362	2990
313	1366	2985
314	1369	2978
315	1375	2976
316	1378	2969
317	1381	2963
318	1384	2955
319	1389	2952
320	1393	2948
321	1396	2941
322	1401	2937
323	1405	2931
324	1408	2925
325	1411	2919
326	1415	2913
327	1420	2909
328	1423	2902
329	1426	2897
330	1434	2899
331	1438	2895
332	1442	2888
333	1446	2884
334	1449	2878
335	1454	2873
336	1457	2867
337	1464	2867
338	1467	2861
339	1471	2856
340	1475	2850
341	1480	2847
342	1483	2841
343	1486	2835
344	1490	2829
345	1494	2825
346	1497	2818
347	1501	2812
348	1505	2807
349	1509	2802
350	1512	2797
351	1515	2790
352	1518	2783
353	1525	2783
354	1528	2777
355	1531	2771
356	1537	2768
357	1544	2768
358	1549	2766
359	1556	2766
360	1559	2760
361	1562	2753
362	1567	2750
363	1571	2744
364	1575	2741
365	1579	2735
366	1584	2732
367	1587	2726
368	1590	2719
369	1594	2714
370	1599	2712
371	1603	2706
372	1606	2699
373	1609	2693
374	1613	2689
375	1616	2683
376	1620	2677
377	1623	2670
378	1628	2668
379	1631	2661
380	1634	2655
381	1637	2649
382	1640	2643
383	1644	2637
384	1647	2631
385	1650	2624
386	1653	2618
387	1658	2615
388	1662	2610
389	1665	2604
390	1668	2598
391	1672	2594
392	1675	2588
393	1679	2582
394	1682	2576
395	1686	2572
396	1689	2566
397	1692	2560
398	1696	2554
399	1699	2548
400	1704	2546
401	1708	2540
402	1711	2534
403	1714	2529
404	1718	2525
405	1722	2520
406	1725	2514
407	1728	2508
408	1736	2509
409	1741	2505
410	1744	2500
411	1751	2499
412	1755	2494
413	1759	2489
414	1764	2487
415	1768	2482
416	1771	2476
417	1774	2470
418	1780	2468
419	1783	2463
420	1787	2457
421	1793	2455
422	1797	2452
423	1800	2446
424	1803	2440
425	1811	2440
426	1815	2436
427	1818	2430
428	1823	2426
429	1826	2420
430	1830	2416
431	1833	2410
432	1836	2405
433	1840	2400
434	1844	2395
435	1847	2389
436	1850	2383
437	1855	2380
438	1859	2375
439	1862	2370
440	1865	2364
441	1869	2360
442	1873	2355
443	1876	2349
444	1879	2344
445	1884	2340
446	1887	2335
447	1890	2329
448	1893	2323
449	1899	2321
450	1902	2315
451	1905	2310
452	1909	2305
453	1918	2307
454	1930	2312
455	1945	2320
456	1966	2336
457	1979	2342
458	1991	2347
459	1996	2343
460	1999	2337
461	2005	2334
462	2008	2329
463	2012	2324
464	2014	2318
465	2021	2316
466	2024	2310
467	2027	2305
468	2032	2301
469	2039	2300
470	2042	2294
471	2048	2291
472	2052	2286
473	2055	2281
474	2058	2275
475	2063	2271
476	2066	2266
477	2069	2260
478	2073	2255
479	2079	2252
480	2082	2247
481	2086	2241
482	2089	2236
483	2094	2232
484	2098	2227
485	2101	2222
486	2104	2216
487	2111	2215
